Counts_SAQuant_Day_0_1_1	Counts_SAQuant_Day_0_2_1	Counts_SAQuant_Day_0_3_1	Counts_SAQuant_Day_7_1_1	Counts_SAQuant_Day_7_2_1	Counts_SAQuant_Day_7_3_1
GNAT3	0	0	0	0	0	0
GNAZ	1	2	1	8	9	4
GNB1	15682	13644	13126	11664	11967	12741
GNB1L	532	458	411	134	139	143
GNB2	11734	10425	9518	7039	7148	7599
GNB3	104	89	88	54	52	65
GNB4	1532	1344	1275	2550	2599	2555
GNB5	1585	1408	1329	1907	2051	2067
GNE	2053	1827	1723	1577	1588	1754
GNG10	6483	6156	5447	4282	4985	4382
GNG11	0	1	0	10	9	11
GNG12	8814	7712	7163	7725	7707	8170
GNG13	30	38	13	33	27	27
GNG2	490	418	359	531	567	566
GNG3	89	62	68	61	70	89
GNG4	185	155	158	232	213	234
GNG5	3946	3379	3143	2576	2533	2803
GNG7	114	103	81	204	182	206
GNG8	2	0	1	2	1	0
GNGT1	0	0	1	3	0	2
GNGT2	0	0	0	0	0	1
GNL1	4629	4045	3775	4182	4397	4633
GNL2	4399	4042	3722	2888	3062	3296
GNL3	11470	10142	9701	6562	6626	6913
GNL3L	4087	3534	3501	3602	3755	3949
GNLY	1	0	1	0	0	0
GNMT	16	8	15	10	18	11
GNPAT	3408	2571	2702	2502	2522	2725
GNPDA1	3563	3015	2857	2931	2952	3204
GNPDA2	2269	2054	1866	2078	2057	2200
GNPNAT1	9093	8126	7796	5105	5047	5324
GNPTAB	3195	2667	2640	2051	2123	2287
GNPTG	1592	1351	1235	2216	2401	2391
GNRH1	164	117	110	121	129	112
GNRH2	2	1	2	2	3	5
GNRHR	33	17	28	39	36	40
GNRHR2	323	254	266	172	168	177
GNS	7293	5885	5940	9886	9867	10684
GOLGA1	2979	2507	2383	2286	2256	2355
GOLGA2	10818	9271	8460	7402	7634	7917
GOLGA2P10	2298	2164	2121	1223	1297	1204
GOLGA2P11	3	1	0	1	0	1
GOLGA2P2Y	1	0	2	9	6	7
GOLGA2P3Y	1	0	2	9	6	7
GOLGA2P5	1169	1039	1005	430	466	482
GOLGA2P6	60	54	53	51	63	65
GOLGA2P7	2397	2157	2048	1277	1224	1389
GOLGA2P9	2	4	0	5	5	5
GOLGA3	6101	5387	5140	4960	5427	5343
GOLGA4	9373	7975	7664	4328	4272	4652
GOLGA5	4353	3565	3642	2865	3010	3050
GOLGA6A	7	1	2	2	6	0
GOLGA6B	0	0	0	2	0	4
GOLGA6C	105	82	82	35	50	49
GOLGA6D	8	3	0	3	0	0
GOLGA6L1	0	68	37	0	0	0
GOLGA6L10	49	34	31	45	27	50
GOLGA6L17P	21	18	19	15	23	42
GOLGA6L2	1	2	3	0	2	0
GOLGA6L22	69	0	2	67	63	67
GOLGA6L3	15	20	7	12	30	6
GOLGA6L4	295	237	256	219	213	200
GOLGA6L5P	270	258	185	222	230	231
GOLGA6L6	8	0	23	8	23	9
GOLGA6L7P	8	11	9	12	19	16
GOLGA6L9	1284	1106	1047	738	775	746
GOLGA7	3385	2979	2725	3182	3192	3346
GOLGA7B	711	595	550	429	438	456
GOLGA8A	370	302	305	444	542	451
GOLGA8B	6187	5490	4960	7471	7654	8048
GOLGA8CP	25	14	0	14	12	22
GOLGA8DP	3	4	2	2	0	0
GOLGA8EP	0	0	0	0	0	0
GOLGA8F	39	36	56	28	44	30
GOLGA8G	0	0	0	0	0	0
GOLGA8H	60	35	37	67	50	55
GOLGA8IP	67	67	45	81	77	76
GOLGA8J	0	0	0	4	0	3
GOLGA8K	20	27	5	28	37	37
GOLGA8M	21	17	13	8	9	9
GOLGA8N	108	116	118	229	229	284
GOLGA8O	201	153	131	331	310	354
GOLGA8R	24	19	16	34	48	23
GOLGA8S	14	12	13	3	1	4
GOLGA8T	49	54	52	51	56	45
GOLGB1	6836	5788	5515	6184	6286	6573
GOLIM4	1860	1717	1644	3008	3118	3185
GOLM1	30503	26759	24821	23299	24004	25249
GOLPH3	8821	7764	7409	6301	6570	6680
GOLPH3L	3298	2921	2641	2613	2510	2721
GOLT1A	319	296	306	83	106	85
GOLT1B	1392	1148	1122	1120	1244	1157
GON4L	7794	6652	6203	5117	5310	5659
GON7	1026	860	798	724	720	801
GOPC	2650	2321	2224	2656	2606	2783
GORAB	946	839	844	907	873	946
GORASP1	2282	1963	1821	1881	1985	1998
GORASP2	7396	6577	6144	5042	5104	5522
GOSR1	7321	6386	5938	5274	5343	5716
GOSR2	2535	2207	2106	2301	2375	2651
GOT1	4216	3535	3617	1833	1920	1978
GOT1L1	0	0	1	2	0	0
GOT2	9953	8500	8632	5448	5277	5807
GP1BA	55	44	53	65	84	93
GP1BB	5	2	1	1	0	5
GP2	25	16	16	16	16	23
GP5	7	4	1	1	1	6
GP6	98	85	71	99	105	99
GP9	0	0	0	0	0	0
GPA33	780	695	640	122	105	138
GPAA1	9616	8778	8080	9432	9547	9993
GPALPP1	2068	1936	1838	1355	1502	1557
GPAM	1384	1236	1258	1133	1084	1171
GPANK1	1110	977	971	859	870	943
GPAT2	34	41	36	66	59	68
GPAT3	2121	1928	1920	1272	1258	1435
GPAT4	7029	6220	5924	6005	6282	6368
GPATCH1	1260	1099	910	929	938	994
GPATCH11	1584	1376	1315	1402	1392	1505
GPATCH2	1313	1113	1109	865	849	971
GPATCH2L	5629	4769	4499	5801	5932	6347
GPATCH3	762	675	671	688	684	659
GPATCH4	4569	4012	3986	3278	3521	3510
GPATCH8	5683	5006	4874	4574	4750	4862
GPBAR1	3	2	5	5	4	5
GPBP1	6845	5788	5588	4793	4691	5079
GPBP1L1	7098	6239	5848	4770	4867	5095
GPC1	1114	1060	933	919	995	984
GPC2	1465	1276	1164	828	912	843
GPC3	43	42	26	14	15	14
GPC4	2053	1635	1709	2870	2980	3223
GPC5	7	1	6	30	15	20
GPC6	1245	988	1001	1518	1650	1676
GPCPD1	4286	3697	3675	3894	3935	4123
GPD1	23	31	24	30	25	25
GPD1L	2283	1985	1958	1325	1273	1395
GPD2	7803	6697	6536	2701	2780	2901
GPER1	255	246	238	513	472	495
GPHA2	13	12	14	13	16	15
GPHB5	1	0	0	1	0	0
GPHN	1634	1342	1369	1013	993	1002
GPI	15420	13475	12970	10239	10197	11066
GPIHBP1	82	71	67	895	961	978
GPKOW	1918	1615	1650	1303	1323	1340
GPLD1	281	243	254	401	380	434
GPM6A	106	65	84	140	114	134
GPM6B	216	178	171	211	232	211
GPN1	5066	4372	4396	3456	3429	3625
GPN2	1251	1083	1059	965	982	1017
GPN3	1991	1734	1605	991	1017	1046
GPNMB	571	503	436	3838	3969	4120
GPR1	20	31	23	45	38	46
GPR101	0	0	0	0	0	0
GPR107	16563	13936	13260	13958	14371	15291
GPR108	1794	1496	1427	1344	1458	1548
GPR119	0	0	1	0	0	0
GPR12	10	6	7	8	10	12
GPR132	399	367	375	579	631	623
GPR135	9	19	13	46	39	49
GPR137	949	799	769	675	753	710
GPR137B	5	4	4	4	6	0
GPR137C	131	111	106	233	211	208
GPR139	0	0	0	0	0	0
GPR141	0	0	0	0	0	0
GPR142	0	0	0	1	0	0
GPR143	0	0	3	2	6	3
GPR146	44	32	37	59	80	90
GPR148	0	0	0	0	0	0
GPR149	0	0	0	0	0	0
GPR15	0	0	0	2	1	0
GPR150	2	3	1	6	5	6
GPR151	1	0	0	0	1	1
GPR152	1	0	0	0	2	1
GPR153	263	215	208	244	230	281
GPR155	402	349	348	539	558	566
GPR156	64	46	57	143	151	160
GPR157	236	220	186	97	107	101
GPR158	6	8	7	87	89	95
GPR160	366	300	292	63	96	80
GPR161	1595	1471	1334	1459	1446	1464
GPR162	17	11	15	77	71	101
GPR17	2	2	0	4	3	3
GPR171	0	0	0	1	0	0
GPR173	643	542	534	2124	2378	2469
GPR174	0	0	0	0	1	1
GPR176	314	248	233	1461	1471	1610
GPR179	19	16	14	38	33	29
GPR18	6	6	4	3	9	7
GPR180	1450	1291	1195	966	867	935
GPR182	1	1	3	1	0	2
GPR183	306	236	234	528	599	580
GPR19	136	112	104	81	75	75
GPR20	4	1	6	24	6	20
GPR21	1	2	0	4	0	3
GPR22	1	1	0	3	1	2
GPR25	0	0	0	2	1	1
GPR26	1	3	2	4	1	3
GPR27	0	0	0	0	0	0
GPR3	345	321	280	167	152	149
GPR31	0	0	0	0	0	0
GPR32	1	1	0	3	1	0
GPR33	0	0	0	0	0	0
GPR34	0	2	1	2	3	3
GPR35	44	48	40	46	36	48
GPR37	1167	1009	974	775	899	879
GPR37L1	33	16	16	9	17	14
GPR39	1151	1019	948	263	269	321
GPR4	62	60	50	52	51	44
GPR45	2	1	1	1	0	1
GPR50	4	1	2	0	0	1
GPR52	2	3	2	1	2	2
GPR55	32	26	26	69	73	74
GPR6	1	0	0	0	0	0
GPR61	0	3	4	2	4	1
GPR62	7	9	5	5	4	7
GPR63	425	343	348	359	380	423
GPR65	44	44	40	55	54	60
GPR68	137	108	80	126	129	135
GPR75	90	79	90	72	69	82
GPR78	31	22	30	17	17	15
GPR82	59	82	69	58	74	51
GPR83	48	55	33	53	69	44
GPR84	1	0	0	0	1	0
GPR85	120	118	81	108	119	127
GPR87	528	438	414	34	29	39
GPR88	0	0	1	2	1	2
GPR89A	2770	2409	2195	2258	2144	2419
GPR89B	642	653	629	624	642	661
GPRASP1	209	191	177	211	213	272
GPRASP2	354	247	248	326	389	449
GPRC5A	6352	5420	5195	1470	1469	1582
GPRC5B	111	98	92	201	227	214
GPRC5C	2184	1814	1717	923	919	970
GPRC5D	36	38	27	44	37	28
GPRC6A	24	19	14	16	15	29
GPRIN1	1262	1167	1142	846	825	860
GPRIN2	0	0	0	0	0	0
GPRIN3	0	0	0	0	0	1
GPS1	8178	7299	6881	6104	6349	6444
GPS2	1113	1055	947	1039	1090	1061
GPSM1	1903	1723	1546	5378	5504	5951
GPSM2	6416	5605	5438	2979	3056	3294
GPSM3	571	545	486	612	607	656
GPT	67	62	45	146	155	141
GPT2	13083	11320	10901	3465	3415	3734
GPX1	16469	14884	13535	7705	7657	8307
GPX2	101	72	68	46	64	43
GPX3	1367	1135	1097	392	438	476
GPX4	10547	9097	8564	8282	8655	8743
GPX5	0	0	1	0	0	1
GPX6	2	0	5	3	1	0
GPX7	0	3	0	2	1	2
GPX8	2676	2200	2158	2631	2515	2902
GRAMD1A	3675	3211	2927	2894	2958	3181
GRAMD1B	1	0	2	2	1	1
GRAMD1C	1023	875	869	259	259	318
GRAMD2	83	78	75	45	72	54
GRAMD3	1259	1182	1099	698	749	756
GRAMD4	2605	2269	2107	1279	1253	1331
GRAP	49	50	51	116	87	113
GRAP2	0	0	0	0	0	0
GRAPL	28	13	5	12	15	22
GRASP	9	11	8	71	68	65
GRB10	5045	4131	4246	4670	4567	5062
GRB14	114	107	109	45	59	32
GRB2	12079	10662	10142	8389	8628	9112
GRB7	2420	2122	1966	163	187	204
GREB1	259	218	194	795	894	901
GREB1L	346	278	271	233	209	233
GREM1	2	0	1	2	1	1
GREM2	20	12	15	15	11	13
GRHL1	1562	1389	1304	204	236	249
GRHL2	7624	6647	6668	962	990	1011
GRHL3	146	124	130	65	78	70
GRHPR	2651	2335	2099	2860	2917	3071
GRIA1	0	0	0	0	2	0
GRIA2	15	7	7	7	8	17
GRIA3	3	8	4	11	6	3
GRIA4	42	41	27	29	34	27
GRID1	51	46	58	86	100	90
GRID2	0	0	0	14	5	9
GRID2IP	95	100	62	18	23	19
GRIFIN	1	0	1	1	1	3
GRIK1	4	8	8	8	8	5
GRIK2	1523	1234	1215	2070	2064	2229
GRIK3	0	0	0	0	0	1
GRIK4	1	1	0	0	2	0
GRIK5	31	31	17	14	15	18
GRIN1	1346	1161	1043	480	510	538
GRIN2A	17	8	9	4	3	4
GRIN2B	0	0	1	0	0	1
GRIN2C	52	58	46	32	45	46
GRIN2D	1734	1516	1348	1012	1049	1067
GRIN3A	17	14	17	23	16	27
GRIN3B	23	17	16	6	8	3
GRINA	7811	7046	6349	11529	11840	12379
GRIP1	574	561	499	485	553	536
GRIP2	1	3	0	54	56	59
GRIPAP1	4108	3689	3403	3624	3843	3903
GRK1	9	4	8	4	9	6
GRK2	12985	11662	10574	5336	5448	5740
GRK3	148	106	96	122	121	133
GRK4	120	94	99	217	255	254
GRK5	835	700	682	424	406	424
GRK6	2666	2423	2217	1543	1642	1647
GRK7	6	4	2	1	2	4
GRM1	27	23	26	24	37	27
GRM2	7	7	4	5	4	7
GRM3	24	25	17	19	30	26
GRM4	3	6	5	1	10	4
GRM5	148	135	126	12	15	12
GRM6	194	170	138	148	131	186
GRM7	2	2	3	4	11	4
GRM8	3	2	2	3	10	7
GRN	5478	5041	4607	10105	10387	10706
GRP	0	0	0	0	0	0
GRPEL1	6541	5586	5400	3750	3696	4024
GRPEL2	2752	2403	2285	1657	1552	1725
GRPR	19	24	19	44	27	28
GRSF1	14413	12407	12397	9310	9320	9920
GRTP1	650	532	555	177	161	194
GRWD1	3993	3678	3322	3050	3068	3254
GRXCR1	0	0	0	1	0	0
GRXCR2	0	4	0	0	2	1
GSAP	279	242	249	227	233	267
GSC	0	0	0	0	0	0
GSC2	0	0	0	0	0	0
GSDMA	64	45	55	77	63	57
GSDMB	336	268	269	276	298	298
GSDMC	139	133	122	24	26	32
GSDMD	3478	3151	2851	2063	2175	2227
GSE1	18977	16649	15516	15566	16212	17104
GSG1	77	60	57	76	66	77
GSG1L	5	12	11	10	22	11
GSG1L2	0	0	0	0	0	0
GSG2	463	464	405	254	237	285
GSK3A	4194	3582	3467	3249	3270	3465
GSK3B	6108	5343	5038	4440	4345	4586
GSKIP	2102	1820	1677	878	965	972
GSN	3677	3106	2752	8239	8675	8837
GSPT1	12705	11071	10880	7486	7312	8015
GSPT2	0	0	0	0	0	0
GSR	14028	11648	11552	5103	5057	5322
GSS	4849	4395	4116	2933	2994	3118
GSTA1	0	0	0	0	0	0
GSTA2	1	0	0	0	0	0
GSTA3	0	0	0	3	4	4
GSTA4	653	514	512	422	400	433
GSTA5	2	0	1	1	0	0
GSTA7P	0	1	2	2	0	0
GSTCD	3347	2970	2722	1471	1484	1497
GSTK1	2886	2506	2336	3063	3191	3208
GSTM1	0	0	0	0	0	0
GSTM2	23	29	33	114	138	130
GSTM2P1	0	0	0	0	0	0
GSTM3	392	384	385	690	731	756
GSTM4	37	35	19	198	225	232
GSTM5	0	0	0	0	0	0
GSTO1	2457	2116	1940	1377	1405	1624
GSTO2	809	647	601	332	321	365
GSTP1	15172	13434	12732	8381	8688	8963
GSTT1	2057	1734	1675	1708	1774	1842
GSTT2	92	51	57	100	106	84
GSTT2B	92	77	66	106	121	145
GSTTP1	2	1	6	4	1	1
GSTTP2	64	54	62	34	31	34
GSTZ1	952	906	771	755	764	845
GSX1	0	0	0	0	0	0
GSX2	4	3	2	3	4	6
GTDC1	732	663	608	482	422	505
GTF2A1	3935	3663	3318	2601	2786	2660
GTF2A1L	0	0	0	0	0	0
GTF2A2	2215	1810	1793	1388	1232	1408
GTF2B	2105	1849	1731	1557	1619	1731
GTF2E1	1284	1060	1024	766	796	822
GTF2E2	5574	4681	4663	2367	2242	2482
GTF2F1	4346	4092	3728	3356	3497	3560
GTF2F2	2341	2037	2032	1395	1365	1467
GTF2H1	2405	2123	1962	1989	1976	2224
GTF2H2	998	904	874	645	621	773
GTF2H2B	1832	1590	1619	1676	1692	1736
GTF2H2C	50	70	106	61	130	46
GTF2H2C_2	1785	1479	1348	1311	1129	1246
GTF2H3	3376	2956	2908	2694	2704	2777
GTF2H4	1047	1054	902	789	822	855
GTF2H5	1256	1155	1023	1157	1194	1258
GTF2I	19205	16341	16180	24091	24072	25902
GTF2IP1	4545	3911	3823	3160	3226	2955
GTF2IP12	124	148	125	128	98	115
GTF2IP20	892	810	782	612	674	702
GTF2IP23	354	276	270	180	176	162
GTF2IP4	554	429	412	383	340	902
GTF2IP7	1490	1222	1221	153	129	130
GTF2IRD1	3877	3480	3214	2145	2239	2456
GTF2IRD1P1	4	6	4	3	2	4
GTF2IRD2	1131	931	877	1785	1916	1943
GTF2IRD2B	434	384	342	836	851	951
GTF3A	5004	4410	4484	2580	2439	2730
GTF3C1	8168	7164	6942	6405	6483	6928
GTF3C2	8516	7465	7083	6530	6372	6852
GTF3C3	2371	2144	2007	1713	1684	1821
GTF3C4	11436	9736	9682	9187	9198	9936
GTF3C5	10063	8870	8572	6902	7091	7376
GTF3C6	1688	1398	1386	1396	1334	1504
GTPBP1	5242	4560	4185	3453	3512	3683
GTPBP10	1727	1580	1573	1068	1123	1113
GTPBP2	5878	5049	4614	3002	3156	3368
GTPBP3	1383	1228	1168	960	976	953
GTPBP4	4476	3733	3475	2450	2395	2709
GTPBP6	1434	1225	1169	1306	1445	1483
GTPBP8	839	791	781	592	630	670
GTSCR1	0	0	0	0	0	0
GTSE1	3113	2744	2630	1707	1744	1798
GTSF1	1666	1484	1363	756	774	824
GTSF1L	0	0	0	0	0	0
GUCA1A	1	3	4	3	2	0
GUCA1B	284	264	253	128	114	134
GUCA1C	0	0	0	0	0	0
GUCA2A	0	2	0	0	1	0
GUCA2B	0	1	0	1	0	2
GUCD1	4434	3868	3736	3807	4059	4198
GUCY1A2	828	678	706	5338	6017	5927
GUCY1A3	19	18	13	71	61	63
GUCY1B2	421	352	368	902	988	1034
GUCY1B3	715	602	601	721	727	728
GUCY2C	4	7	5	15	3	8
GUCY2D	8	4	2	1	0	3
GUCY2EP	27	26	29	1	3	0
GUCY2F	0	0	0	2	0	1
GUCY2GP	0	0	1	0	0	0
GUF1	7301	6009	6166	5469	5272	5681
GUK1	6629	6163	5277	4482	4588	4580
GULP1	2438	2217	2127	1272	1540	1331
GUSB	3631	3108	2980	3267	3363	3422
GUSBP1	954	815	795	987	957	1053
GUSBP10	0	1	0	0	0	0
GUSBP11	920	702	726	580	649	716
GUSBP2	79	64	67	61	67	71
GUSBP3	412	281	274	287	400	356
GUSBP4	641	564	569	574	677	699
GUSBP5	74	80	62	176	151	172
GUSBP9	5	3	15	18	8	24
GVINP1	37	32	44	45	47	51
GVQW2	23	28	28	22	28	18
GXYLT1	2145	1908	1789	1624	1491	1577
GXYLT1P3	113	106	101	96	86	82
GXYLT2	50	44	42	352	402	394
GYG1	1474	1192	1128	1002	964	1058
GYG2	1122	989	859	595	507	629
GYG2P1	119	78	85	56	63	60
GYPA	9	7	4	5	4	6
GYPB	1	0	0	2	0	1
GYPC	0	0	1	0	1	0
GYPE	11	14	16	32	28	30
GYS1	3345	2926	2757	2707	2829	2910
GYS2	5	4	2	1	2	2
GZF1	3937	3447	3300	2882	2852	3238
GZMA	0	1	0	1	2	0
GZMB	0	0	0	0	0	0
GZMH	0	0	0	0	0	0
GZMK	1	0	0	0	0	0
GZMM	3	3	7	1	3	0
H19	167	161	141	922	942	1006
H1F0	16670	14820	13498	13588	14633	14907
H1FNT	0	0	0	0	1	0
H1FOO	0	0	0	0	0	0
H1FX	5280	4616	4371	4079	4426	4524
H2AFB1	0	0	0	0	0	0
H2AFB2	14	6	3	6	2	7
H2AFB3	0	0	0	0	0	0
H2AFJ	3445	2957	2645	1649	1706	1733
H2AFV	9955	8654	8438	7525	7511	8013
H2AFX	7438	6633	6570	4593	4821	5023
H2AFY	15355	13449	12737	6072	6240	6295
H2AFY2	2	4	2	1	4	2
H2AFZ	36861	32459	30964	17599	17462	18420
H2BFM	1	1	1	0	0	0
H2BFWT	0	0	0	0	0	0
H2BFXP	0	0	0	0	0	0
H3F3A	1846	1935	1446	1139	1718	1228
H3F3AP4	22873	20369	19024	17612	19325	19496
H3F3B	48327	41443	40135	24746	24769	26265
H3F3C	28	26	19	11	5	7
H6PD	4613	3880	3738	7479	7810	8134
HAAO	0	0	0	0	3	2
HABP2	1	0	2	5	3	2
HABP4	2276	2036	1976	2712	2527	2867
HACD1	766	627	550	650	677	675
HACD2	1813	1612	1543	1003	906	977
HACD3	8446	7099	6993	7741	7479	8065
HACD4	1685	1403	1347	1461	1503	1578
HACE1	674	590	593	490	526	555
HACL1	711	641	664	661	639	649
HADH	4303	3843	3728	2862	3074	3262
HADHA	14947	12480	12387	11779	11666	12562
HADHB	5881	5121	4996	6470	6418	6691
HAGH	1188	1098	931	538	614	559
HAGHL	834	751	627	1080	1069	1012
HAGLR	533	415	351	361	401	347
HAGLROS	6	5	4	4	5	2
HAL	32	33	33	27	21	32
HAMP	0	0	1	1	0	0
HAND1	0	0	0	0	0	0
HAND2	0	0	0	0	0	0
HAO1	1	0	0	0	0	0
HAO2	1	0	0	0	3	2
HAP1	193	176	170	172	145	174
HAPLN1	2	2	1	4	9	3
HAPLN2	39	39	46	37	37	42
HAPLN3	317	318	278	131	175	161
HAPLN4	3	3	4	3	9	8
HAR1A	20	9	5	12	21	15
HAR1B	8	5	4	5	6	6
HARBI1	160	111	93	100	76	95
HARS	4177	3484	3402	3260	3320	3623
HARS2	3202	2900	2732	1936	1880	2038
HAS1	15	11	15	13	17	20
HAS2	16	18	21	24	17	15
HAS3	540	513	472	284	299	321
HAT1	3627	3090	2937	2511	2406	2763
HAUS1	1390	1223	1179	647	634	644
HAUS2	2562	2332	2232	1744	1733	1802
HAUS3	2783	2295	2256	1885	1890	2004
HAUS4	3067	2532	2461	1371	1363	1511
HAUS5	2425	2191	1941	1707	1724	1739
HAUS6	2661	2334	2142	1782	1678	1812
HAUS7	814	680	644	637	618	674
HAUS8	740	710	613	424	412	406
HAVCR1	3	1	2	1	2	1
HAVCR1P1	22	22	28	46	50	61
HAVCR2	93	111	87	68	84	94
HAX1	6689	5821	5496	3816	3956	4124
HBA1	3	0	0	3	0	0
HBA2	0	1	2	0	1	1
HBB	1	0	0	0	0	0
HBBP1	1	0	1	0	1	0
HBD	3	0	1	0	0	2
HBE1	463	376	405	358	337	346
HBEGF	282	196	193	772	780	798
HBG1	2	0	0	0	2	0
HBG2	65	51	63	22	48	38
HBM	0	0	0	0	2	0
HBP1	3811	3234	3049	4778	4749	5112
HBQ1	9	3	5	7	8	4
HBS1L	3436	2995	2732	2292	2360	2409
HBZ	0	1	1	4	3	2
HCAR1	2972	2473	2423	2079	2079	2228
HCAR2	138	139	140	75	102	75
HCAR3	117	74	88	63	77	66
HCCAT5	0	0	0	0	0	1
HCCS	1705	1635	1532	1481	1490	1600
HCFC1	9463	8632	7889	7900	7972	8431
HCFC1R1	1543	1383	1199	1771	1903	1911
HCFC2	493	427	423	705	797	748
HCG11	1626	1428	1256	1575	1651	1678
HCG14	9	7	7	3	10	8
HCG16	124	99	88	99	121	117
HCG17	52	43	36	30	33	39
HCG18	3243	2654	2735	2752	2917	3107
HCG2040054	10	6	4	5	9	5
HCG22	2	1	1	11	5	5
HCG23	1	0	1	3	1	0
HCG25	30	24	15	41	28	55
HCG26	89	69	86	15	16	21
HCG27	482	382	462	418	410	432
HCG4	947	886	771	275	272	321
HCG4B	1612	1517	1195	324	365	377
HCG8	160	125	130	142	188	173
HCG9	38	19	25	26	19	31
HCK	2	0	0	0	0	0
HCLS1	6	6	8	6	3	2
HCN1	53	42	40	102	126	113
HCN2	178	183	131	356	386	400
HCN3	811	656	633	349	386	328
HCN4	0	0	0	0	0	1
HCP5	1568	1285	1291	298	317	282
HCRT	0	0	0	1	0	0
HCRTR1	1	3	1	1	1	0
HCRTR2	7	4	8	1	3	4
HCST	7	10	6	4	13	4
HDAC1	5078	4382	4299	4016	4047	4235
HDAC10	1390	1174	1046	1434	1526	1491
HDAC11	969	884	753	511	525	600
HDAC2	8569	7843	7439	5610	5640	5998
HDAC3	3598	3020	3077	2584	2548	2640
HDAC4	1479	1390	1271	1266	1362	1369
HDAC5	2723	2526	2204	3425	3540	3693
HDAC6	4721	4268	3843	4005	4334	4375
HDAC7	3574	3255	3010	3153	3233	3222
HDAC8	1232	1057	984	903	986	949
HDAC9	1302	1161	1104	710	728	791
HDC	2	7	3	8	6	5
HDDC2	1443	1245	1141	948	1007	1024
HDDC3	988	845	805	419	390	415
HDGF	50948	46536	42022	27636	28202	29640
HDGFL1	1	0	2	0	0	0
HDGFRP2	3664	3313	3030	2652	2846	2892
HDGFRP3	0	0	0	0	2	0
HDHD2	1710	1535	1465	1301	1345	1405
HDHD3	2363	2020	1953	967	971	1017
HDLBP	28430	25215	23574	26078	26576	27803
HDX	565	453	436	471	447	456
HEATR1	5126	4208	4372	3958	3793	4349
HEATR3	2204	1939	1887	1763	1839	2001
HEATR4	63	47	48	18	34	27
HEATR5A	3940	3303	3208	2804	2708	2836
HEATR5B	2716	2369	2204	1756	1763	1892
HEATR6	1924	1668	1602	2477	2435	2707
HEATR9	10	3	2	11	6	10
HEBP1	484	446	440	399	454	421
HEBP2	1743	1455	1372	607	564	594
HECA	842	697	694	662	675	690
HECTD1	27033	22938	22952	15702	15641	17280
HECTD2	364	278	330	480	464	511
HECTD3	2282	1919	1790	2400	2597	2696
HECTD4	7886	6856	6572	6243	6346	6963
HECW1	153	147	127	159	149	170
HECW2	170	127	123	646	641	700
HEG1	2168	1757	1718	7776	7783	8557
HEIH	792	659	648	542	622	614
HELB	366	307	266	200	205	219
HELLS	2383	1990	2048	1425	1361	1422
HELQ	929	783	794	900	880	914
HELT	14	12	19	5	10	14
HELZ	10211	8660	8402	8096	8420	8937
HELZ2	3406	3005	2601	2673	2760	2848
HEMGN	27	30	14	21	21	29
HEMK1	1409	1214	1018	1209	1269	1353
HENMT1	935	789	822	868	899	1023
HEPACAM	9	3	2	6	8	1
HEPACAM2	6	3	5	12	10	6
HEPH	6	6	4	11	15	19
HEPHL1	91	83	77	81	54	80
HEPN1	0	0	0	0	0	0
HERC1	4784	4068	3951	4164	4329	4666
HERC2	7810	6633	6453	6618	6875	7293
HERC2P10	18	16	27	7	7	10
HERC2P2	2956	2473	2520	2948	3182	3216
HERC2P3	250	242	230	226	314	251
HERC2P4	19	23	16	6	10	9
HERC2P7	58	61	46	81	72	82
HERC2P9	914	813	772	956	1027	1030
HERC3	1416	1250	1215	901	875	942
HERC4	2005	1686	1573	1744	1663	1825
HERC5	4748	4079	3889	2296	2270	2451
HERC6	2001	1681	1639	1717	1722	1863
HERPUD1	4832	4022	3764	4804	4841	5058
HERPUD2	1548	1370	1233	1206	1289	1278
HES1	1866	1702	1554	848	904	911
HES2	48	48	38	37	36	44
HES3	0	0	0	0	0	0
HES4	568	544	478	160	244	233
HES5	2	2	1	5	1	4
HES6	988	912	794	343	350	392
HES7	108	86	86	158	129	160
HESX1	81	78	69	38	68	55
HEXA	5266	4424	4229	6989	7144	7439
HEXB	4359	3687	3534	4891	4657	5280
HEXDC	1413	1349	1115	2293	2400	2431
HEXIM1	3457	3073	2877	3417	3552	3727
HEXIM2	402	345	327	429	424	435
HEY1	1851	1592	1559	952	944	923
HEY2	5	9	7	16	14	13
HEYL	74	63	55	135	127	143
HFE	202	181	169	224	227	228
HFE2	3	1	2	0	4	5
HFM1	56	35	40	24	30	23
HGD	18	8	16	13	16	8
HGF	3	3	3	4	6	8
HGFAC	23	19	18	16	17	35
HGH1	2827	2532	2400	2099	2085	2230
HGS	10159	9353	8115	8854	9332	9473
HGSNAT	1994	1779	1659	3302	3280	3414
HHAT	335	294	274	551	547	584
HHATL	0	0	0	1	0	1
HHEX	226	182	176	136	150	180
HHIP	10	7	9	62	63	57
HHIPL1	148	126	149	125	152	131
HHIPL2	3	0	3	5	1	2
HHLA1	3	0	0	0	0	0
HHLA2	64	57	51	46	66	64
HHLA3	549	429	415	320	362	394
HIBADH	3420	3009	2846	3111	3097	3323
HIBCH	1370	1165	1193	1000	981	1101
HIC1	83	77	75	221	239	251
HIC2	758	685	579	747	711	727
HID1	1774	1550	1396	253	259	237
HIF1A	29457	25859	24938	21550	22480	23069
HIF1AN	3887	3255	3186	3073	3210	3397
HIF3A	104	101	89	206	198	214
